cter,Lines,Play
King of France (KING.),373,All's Well That Ends Well
Duke of Florence (DUKE.),19,All's Well That Ends Well
"Bertram, Count of Roussillion (BER.)",240,All's Well That Ends Well
Lafew (LAF.),146,All's Well That Ends Well
Parolles (PAR.),184,All's Well That Ends Well
Rinaldo (STEW.),23,All's Well That Ends Well
Lavatch (CLO.),74,All's Well That Ends Well
Countess's Page (PAGE.),1,All's Well That Ends Well
Gentleman (GENT.),22,All's Well That Ends Well
Countess of Roussillion (COUNT.),220,All's Well That Ends Well
Helena (HEL.),459,All's Well That Ends Well
An Old Widow of Florence (WID.),56,All's Well That Ends Well
Diana (DIA.),137,All's Well That Ends Well
Mariana (MAR.),6,All's Well That Ends Well
Violenta (VIOL.),0,All's Well That Ends Well
First French Lord (1. LORD.),2,All's Well That Ends Well
Second French Lord (2. LORD.),2,All's Well That Ends Well
Third French Lord (3. LORD.),1,All's Well That Ends Well
Fourth French Lord (4. LORD.),2,All's Well That Ends Well
First French Lord Dumaine (1. LORD. DUM.),70,All's Well That Ends Well
Second French Lord Dumaine (2. LORD. DUM.),80,All's Well That Ends Well
First Soldier as Interpreter (1. SOLD. AS INTERPRETER.),53,All's Well That Ends Well
Second Soldier (2. SOLD.),2,All's Well That Ends Well
Messenger (MESS.),1,All's Well That Ends Well
"Cleopatra, Queen of Egypt (CLEO.)",679,Antony and Cleopatra
Clown (CLOWN.),8,Antony and Cleopatra
Rannius (RANN.),0,Antony and Cleopatra
"Lamprius, the Soothsayer (SOOTH.)",30,Antony and Cleopatra
Diomedes (DIO.),19,Antony and Cleopatra
Seleucus (SEL.),5,Antony and Cleopatra
Mardian (MAR.),19,Antony and Cleopatra
Alexas (ALEX.),30,Antony and Cleopatra
Schoolmaster (Ambassador) (AMB.),16,Antony and Cleopatra
Silius (SIL.),11,Antony and Cleopatra
Varrius (VAR.),4,Antony and Cleopatra
Menecrates (MENE.),4,Antony and Cleopatra
Menas (MENAS.),59,Antony and Cleopatra
Taurus (TAUR.),1,Antony and Cleopatra
Gallus (GALL.),2,Antony and Cleopatra
Thidias (THID.),31,Antony and Cleopatra
Proculeius (PRO.),36,Antony and Cleopatra
Dolabella (DOL.),48,Antony and Cleopatra
Agrippa (AGR.),61,Antony and Cleopatra
Maecenas (MAEC.),39,Antony and Cleopatra
Canidius (CAN.),25,Antony and Cleopatra
Philo (PHI.),17,Antony and Cleopatra
Demetrius (DEM.),5,Antony and Cleopatra
Decretas (DEC.),22,Antony and Cleopatra
Scarus (SCAR.),68,Antony and Cleopatra
Eros (EROS.),43,Antony and Cleopatra
Ventidius (VEN.),30,Antony and Cleopatra
Domitius Enobarbus (ENO.),298,Antony and Cleopatra
Sextus Pompeius (POM.),136,Antony and Cleopatra
M. Aemilius Lepidus (LEP.),65,Antony and Cleopatra
Octavius Caesar (CAES.),421,Antony and Cleopatra
Mark Antony (ANT.),837,Antony and Cleopatra
Iras (IRAS.),23,Antony and Cleopatra
Charmian (CHAR.),87,Antony and Cleopatra
Octavia (OCT.),37,Antony and Cleopatra
Lucillius (LUCILL.),0,Antony and Cleopatra
Antony's First Attendant (ANT. 1. ATT.),3,Antony and Cleopatra
Antony's Second Attendant (ANT. 2. ATT.),1,Antony and Cleopatra
Caesar's First Messenger (1. CAES. MESS.),7,Antony and Cleopatra
Caesar's Second Messenger (2. CAES. MESS.),9,Antony and Cleopatra
Caesar's Third Messenger (3. CAES. MESS.),2,Antony and Cleopatra
First Roman Messenger (1. ROM. MESS.),1,Antony and Cleopatra
Second Roman Messenger (2. ROM. MESS.),3,Antony and Cleopatra
First Messenger (1. MESS.),15,Antony and Cleopatra
Second Messenger (2. MESS.),4,Antony and Cleopatra
Egyptian Messenger (EGYPT. MESS.),43,Antony and Cleopatra
First Egyptian Servant (1. EGYPT. SERV.),3,Antony and Cleopatra
Second Egyptian Servant (2. EGYPT. SERV.),6,Antony and Cleopatra
Antony's First Soldier (ANT. 1. SOLD.),18,Antony and Cleopatra
Antony's Second Soldier (ANT. 2. SOLD.),12,Antony and Cleopatra
Antony's Third Soldier (ANT. 3. SOLD.),4,Antony and Cleopatra
Antony's Fourth Soldier (ANT. 4. SOLD.),1,Antony and Cleopatra
Captain of Antony's Army (CAPT. ANT. ARMY.),1,Antony and Cleopatra
Caesar's First Soldier (CAES. 1. SOLD.),10,Antony and Cleopatra
Caesar's Sentry (CAES. SENT.),14,Antony and Cleopatra
Caesar's First Watchman (CAES. 1. WATCH.),6,Antony and Cleopatra
Caesar's Second Watchman (CAES. 2. WATCH.),6,Antony and Cleopatra
Antony's First Guardsman (ANT. 1. GUARD.),8,Antony and Cleopatra
Antony's Second Guardsman (ANT. 2. GUARD.),5,Antony and Cleopatra
Antony's Third Guardsman (ANT. 3. GUARD.),4,Antony and Cleopatra
First Roman Guard (1. ROM. GUARD.),18,Antony and Cleopatra
Second Roman Guard (2. ROM. GUARD.),2,Antony and Cleopatra
First Roman Soldier (1. ROM. SOLD.),0,Antony and Cleopatra
Second Roman Soldier (2. ROM. SOLD.),0,Antony and Cleopatra
Pompey's First Servant (POM. 1. SERV.),4,Antony and Cleopatra
Pompey's Second Servant (POM. 2. SERV.),3,Antony and Cleopatra
Audrey (AUD.),12,As You Like It
Phebe (PHE.),86,As You Like It
Celia (CEL.),184,As You Like It
Rosalind (ROS.),361,As You Like It
Silvius (SIL.),75,As You Like It
Corin (COR.),49,As You Like It
Sir Oliver Martext (SIR OLI.),3,As You Like It
Touchstone (TOUCH.),97,As You Like It
Adam (ADAM.),60,As You Like It
Orlando (ORL.),190,As You Like It
Oliver (OLI.),101,As You Like It
Charles (CHA.),8,As You Like It
Le Beau (LE BEAU.),34,As You Like It
Jaques (JAQ.),168,As You Like It
Amiens (AMI.),44,As You Like It
Duke Frederick (DUKE F.),63,As You Like It
Duke Senior (DUKE S.),107,As You Like It
Jaques De Boys (JAQ. DE B.),17,As You Like It
Dennis (DEN.),2,As You Like It
Hymen (HYM.),30,As You Like It
William (WILL.),11,As You Like It
First Lord at Court (1. LORD. COURT.),4,As You Like It
Second Lord at Court (2. LORD. COURT.),9,As You Like It
First Lord in Arden (1. LORD. ARD.),43,As You Like It
Second Lord in Arden (2. LORD. ARD.),13,As You Like It
First Page (1. PAGE.),3,As You Like It
Second Page (2. PAGE.),20,As You Like It
Luce (LUCE.),9,The Comedy of Errors
Luciana (LUC.),95,The Comedy of Errors
Adriana (ADR.),263,The Comedy of Errors
Aemilia (ABB.),73,The Comedy of Errors
Doctor Pinch (PINCH.),12,The Comedy of Errors
Angelo (ANG.),77,The Comedy of Errors
Balthazar (BALTH.),26,The Comedy of Errors
Dromio of Syracuse (S. DRO.),153,The Comedy of Errors
Dromio of Ephesus (E. DRO.),135,The Comedy of Errors
Antipholus of Syracuse (S. ANT.),265,The Comedy of Errors
Antipholus of Ephesus (E. ANT.),212,The Comedy of Errors
Egeon (EGE.),143,The Comedy of Errors
"Solinus, Duke of Ephesus (DUKE.)",90,The Comedy of Errors
First Merchant (1. MER.),15,The Comedy of Errors
Second Merchant (2. MER.),34,The Comedy of Errors
Jailer (JAIL.),1,The Comedy of Errors
Courtezan (COUR.),35,The Comedy of Errors
Messenger (MESS.),15,The Comedy of Errors
Officer (OFF.),13,The Comedy of Errors
Headsman (HEAD.),0,The Comedy of Errors
Volumnia (VOL.),275,Coriolanus
Tullus Aufidius (AUF.),274,Coriolanus
Lieutenant to Aufidius (LIEU. AUF.),11,Coriolanus
Nicanor (NIC.),10,Coriolanus
Roman Herald (ROM. HER.),6,Coriolanus
Young Martius (BOY.),2,Coriolanus
Junius Brutus (BRU.),249,Coriolanus
Sicinius Velutus (SIC.),307,Coriolanus
Menenius Agrippa (MEN.),462,Coriolanus
Cominius (COM.),276,Coriolanus
Titus Lartius (LART.),60,Coriolanus
Lieutenant to Lartius (LIEU. LART.),1,Coriolanus
Caius Martius (MAR.),870,Coriolanus
Virgilia (VIR.),32,Coriolanus
Gentlewoman (GENT.),1,Coriolanus
Valeria (VAL.),15,Coriolanus
Citizen of Antium (CIT. ANT.),4,Coriolanus
Adrian (ADR.),9,Coriolanus
First Messenger (1. MESS.),27,Coriolanus
Second Messenger (2. MESS.),17,Coriolanus
Third Messenger (3. MESS.),14,Coriolanus
First Roman Senator (1. ROM. SEN.),39,Coriolanus
Second Roman Senator (2. ROM. SEN.),11,Coriolanus
First Volscian Senator (1. VOL. SEN.),19,Coriolanus
Second Volscian Senator (2. VOL. SEN.),9,Coriolanus
First Roman Soldier (1. ROM. SOLD.),7,Coriolanus
Second Roman Soldier (2. ROM. SOLD.),1,Coriolanus
First Roman (1. ROM.),1,Coriolanus
Second Roman (2. ROM.),1,Coriolanus
Third Roman (3. ROM.),1,Coriolanus
Usher (USH.),0,Coriolanus
Scout (SCOUT.),0,Coriolanus
Volscian Soldier (VOL. SOLD.),4,Coriolanus
First Officer (1. OFF.),5,Coriolanus
Second Officer (2. OFF.),3,Coriolanus
First Roman Citizen (1. ROM. CIT.),57,Coriolanus
Second Roman Citizen (2. ROM. CIT.),33,Coriolanus
Third Roman Citizen (3. ROM. CIT.),33,Coriolanus
Fourth Roman Citizen (4. ROM. CIT.),15,Coriolanus
Fifth Roman Citizen (5. ROM. CIT.),13,Coriolanus
Sixth Roman Citizen (6. ROM. CIT.),12,Coriolanus
Seventh Roman Citizen (7. ROM. CIT.),12,Coriolanus
First Aedile (1. AED.),16,Coriolanus
Second Aedile (2. AED.),1,Coriolanus
First Servingman (1. SERV.),21,Coriolanus
Second Servingman (2. SERV.),21,Coriolanus
Third Servingman (3. SERV.),20,Coriolanus
First Watchman (1. WATCH.),14,Coriolanus
Second Watchman (2. WATCH.),7,Coriolanus
First Conspirator (1. CONSP.),10,Coriolanus
Second Conspirator (2. CONSP.),9,Coriolanus
Third Conspirator (3. CONSP.),14,Coriolanus
First Volscian Lord (1. VOL. LORD.),17,Coriolanus
Second Volscian Lord (2. VOL. LORD.),13,Coriolanus
Third Volscian Lord (3. VOL. LORD.),6,Coriolanus
Volscians (ALL VOL.),0,Coriolanus
Volscian Soldiers (VOL. SOLDS.),0,Coriolanus
Roman Soldiers (ALL. ROM. SOLD.),0,Coriolanus
Patrician (PATRICIAN.),3,Coriolanus
Patricians (PATRICIANS.),0,Coriolanus
Plebeians (ALL PLEBEIANS.),22,Coriolanus
Helen (HEL.),13,Cymbeline
Imogen (IMO.),574,Cymbeline
Queen (QUEEN.),169,Cymbeline
Frenchman (FRENCH.),7,Cymbeline
Roman Captain (CAP.),11,Cymbeline
Philarmonus (PHIL.),37,Cymbeline
Cornelius (COR.),73,Cymbeline
Pisanio (PIS.),217,Cymbeline
Caius Lucius (LUC.),104,Cymbeline
Jachimo (JACH.),374,Cymbeline
Philario (PHI.),31,Cymbeline
Arviragus (ARV.),144,Cymbeline
Guiderius (GUI.),168,Cymbeline
Belarius (BEL.),339,Cymbeline
Posthumus Leonatus (POST.),398,Cymbeline
Cloten (CLO.),154,Cymbeline
Cymbeline (CYM.),292,Cymbeline
First Gentleman (1. GENT.),66,Cymbeline
Second Gentleman (2. GENT.),13,Cymbeline
First Lord (1. LORD.),27,Cymbeline
Second Lord (2. LORD.),35,Cymbeline
Lady Attendant (LADY),1,Cymbeline
Other Ladies (OTH. LAD.),1,Cymbeline
Dutchman (DUTCHMAN.),0,Cymbeline
Spaniard (SPANIARD.),0,Cymbeline
Singer (SING.),8,Cymbeline
Messenger (MESS.),6,Cymbeline
First Senator (1. SEN.),15,Cymbeline
Second Senator (2. SEN.),1,Cymbeline
Tribune (TRI.),3,Cymbeline
First British Captain (1. BRIT. CAP.),4,Cymbeline
Second British Captain (2. BRIT. CAP.),6,Cymbeline
British Soldiers (BRIT. SOLD.),0,Cymbeline
British Lord (BRIT. LORD.),7,Cymbeline
First Jailer (1. JAIL.),10,Cymbeline
Second Jailer (2. JAIL.),1,Cymbeline
Jupiter (JUP.),21,Cymbeline
Apparition of Sicilius Leonatus (SICI.),41,Cymbeline
Apparition of the Matron (MOTH.),13,Cymbeline
Apparition of First Brother of Posthumus (APP. 1. BRO.),15,Cymbeline
Apparition of Second Brother of Posthumus (APP. 2. BRO.),9,Cymbeline
Guard (GUARD.),0,Cymbeline
Don Bernard (D. BERN.),84,Double Falsehood
Roderick (RODER.),210,Double Falsehood
Master of the Flocks (MAST.),42,Double Falsehood
Gerald (GER.),5,Double Falsehood
Lopez (LOP.),3,Double Falsehood
Henriquez (HENR.),269,Double Falsehood
Violante (VIOL.),251,Double Falsehood
Camillo (CAM.),122,Double Falsehood
Leonora (LEON.),284,Double Falsehood
Julio (JUL.),317,Double Falsehood
Fabian (FAB.),2,Double Falsehood
Citizen (CITIZ.),25,Double Falsehood
Maid (MAID.),2,Double Falsehood
Duke Angelo (DUKE.),107,Double Falsehood
First Shepherd (1. SHEP.),13,Double Falsehood
Second Shepherd (2. SHEP.),9,Double Falsehood
First Gentleman (1. GENT.),5,Double Falsehood
Second Gentleman (2. GENT.),9,Double Falsehood
Servant to Violante (SERV.),8,Double Falsehood
Attendant (ATT.),4,Double Falsehood
A Churchman (CHURCH.),0,Double Falsehood
Ladies Attending on Leonora (LADIES.),0,Double Falsehood
King of Bohemia (KING OF BOHEMIA.),3,Edward III
Duke of Lorraine (LORRAINE.),10,Edward III
Philip (PHILIP.),33,Edward III
Charles (CHARLES.),86,Edward III
"John de Valois, King of France (KING JOHN.)",271,Edward III
Gobin de Grey (GOBIN.),3,Edward III
Earl of Mountford (MOUNTFORD.),9,Edward III
Robert of Artois (ARTOIS.),60,Edward III
Villiers (VILLIERS.),31,Edward III
Sir John Copland (COPLAND.),17,Edward III
Sir William Mountague (MOUNTAGUE.),13,Edward III
Lodowick (LODOWICK.),46,Edward III
Lord Percy (PERCY.),18,Edward III
Lord Audley (AUDLEY.),97,Edward III
Earl of Salisbury (SALISBURY.),92,Edward III
Earl of Derby (DERBY.),44,Edward III
Earl of Warwick (WARWICK.),121,Edward III
Prince Edward (PRINCE EDWARD.),281,Edward III
Countess of Salisbury (COUNTESS.),214,Edward III
Queen Philippa (QUEEN PHILIP.),17,Edward III
Earl Douglas (DOUGLAS.),4,Edward III
"David, King of Scotland (KING DAVID.)",33,Edward III
Edward III (KING EDWARD.),743,Edward III
First Scottish Messenger (1. SCOT. MESS.),8,Edward III
Second Scottish Messenger (2. SCOT. MESS.),1,Edward III
Polish Captain (POL. CAPTAIN.),4,Edward III
French Mariner (FR. MARINER.),66,Edward III
First Frenchman (1. FRENCH.),21,Edward III
Second Frenchman (2. FRENCH.),3,Edward III
Third Frenchman (3. FRENCH.),13,Edward III
Fourth Frenchman (4. FRENCH.),31,Edward III
Frenchwoman (FRENCHWOMAN.),8,Edward III
First Herald (1. HERALD.),0,Edward III
Second Herald (2. HERALD.),0,Edward III
Third Herald (3. HERALD.),0,Edward III
Fourth Herald (4. HERALD.),0,Edward III
Poor Inhabitant of Calais (POOR.),9,Edward III
Five Poor Inhabitants of Calais (FIVE POOR.),0,Edward III
First French Herald (1. FR. HERALD.),11,Edward III
Second French Herald (2. FR. HERALD.),6,Edward III
Third French Herald (3. FR. HERALD.),10,Edward III
First French Captain (1. FR. CAPTAIN.),11,Edward III
Second French Captain (2. FR. CAPTAIN.),5,Edward III
First English Esquire (1. ESQUIRE.),1,Edward III
Second English Esquire (2. ESQUIRE.),1,Edward III
English Herald (ENG. HERALD.),9,Edward III
First Citizen of Calais (1. CIT. CAL.),8,Edward III
Second Citizen of Calais (2. CIT. CAL.),7,Edward III
Third Citizen of Calais (3. CIT. CAL.),1,Edward III
Fourth Citizen of Calais (4. CIT. CAL.),1,Edward III
Fifth Citizen of Calais (5. CIT. CAL.),1,Edward III
Sixth Citizen of Calais (6. CIT. CAL.),1,Edward III
"Claudius, King of Denmark (KING.)",545,Hamlet
Ghost of Hamlet's Father (GHOST.),95,Hamlet
Ophelia (OPH.),154,Hamlet
"Getrude, Queen of Denmark (QUEEN.)",157,Hamlet
Fortinbras (FORT.),27,Hamlet
Francisco (FRAN.),10,Hamlet
Barnardo (BAR.),41,Hamlet
Marcellus (MAR.),68,Hamlet
Horatio (HOR.),273,Hamlet
Polonius (POL.),333,Hamlet
Hamlet (HAM.),"1,099",Hamlet
Osric (OSR.),27,Hamlet
Guildenstern (GUIL.),39,Hamlet
Rosencrantz (ROS.),73,Hamlet
Cornelius (COR.),1,Hamlet
Voltemand (VOL.),22,Hamlet
Laertes (LAER.),208,Hamlet
First Player (Player King) (P. KING.),94,Hamlet
Player Queen (P. QUEEN.),30,Hamlet
Player Prologue (P. PRO.),3,Hamlet
Player Lucianus (P. LUC.),6,Hamlet
First Clown (Gravedigger) (1. CLO.),45,Hamlet
Second Clown (Gravedigger) (2. CLO.),12,Hamlet
Laertes's Followers (LAER. FOL.),2,Hamlet
Gentleman (GENT.),14,Hamlet
Reynaldo (REY.),14,Hamlet
Lord (LORD.),3,Hamlet
Messenger (MESS.),16,Hamlet
First Sailor (1. SAIL.),2,Hamlet
First Ambassador (1. AMB.),6,Hamlet
Norwegian Captain (CAP.),12,Hamlet
Doctor of Divinity (DOCTOR.),13,Hamlet
Ophelia's Pallbearers (PALL.),1,Hamlet
Sir John Falstaff (FAL.),164,"Henry IV, Part 1"
Sir Richard Vernon (VER.),66,"Henry IV, Part 1"
Owen Glendower (GLEND.),79,"Henry IV, Part 1"
"Archibald, Earl of Douglas (DOUG.)",46,"Henry IV, Part 1"
"Richard Scroop, Archbishop of York (ARCH.)",34,"Henry IV, Part 1"
"Edmund Mortimer, Earl of March (MORT.)",60,"Henry IV, Part 1"
Henry Percy (HOT.),527,"Henry IV, Part 1"
"Henry Percy, Earl of Northumberland (NORTH.)",26,"Henry IV, Part 1"
"Thomas Percy, Earl of Worcester (WOR.)",190,"Henry IV, Part 1"
Sir Walter Blunt (BLUNT.),41,"Henry IV, Part 1"
Earl of Westmorland (WEST.),37,"Henry IV, Part 1"
Prince John of Lancaster (LAN.),8,"Henry IV, Part 1"
"Henry, Prince of Wales (PRINCE.)",362,"Henry IV, Part 1"
King Henry IV (KING.),341,"Henry IV, Part 1"
Lady Mortimer (LADY MORT.),0,"Henry IV, Part 1"
Lady Percy (LADY P.),55,"Henry IV, Part 1"
Bardolph (BARD.),18,"Henry IV, Part 1"
Peto (PETO.),11,"Henry IV, Part 1"
Gadshill (GADS.),18,"Henry IV, Part 1"
Edward Poins (POINS.),37,"Henry IV, Part 1"
Sir Michael (SIR M.),8,"Henry IV, Part 1"
Ostler (OST.),1,"Henry IV, Part 1"
Sheriff (SHER.),8,"Henry IV, Part 1"
First Carrier (1. CAR.),9,"Henry IV, Part 1"
Second Carrier (2. CAR.),6,"Henry IV, Part 1"
First Traveller (1. TRAV.),3,"Henry IV, Part 1"
Second Traveller (2. TRAV.),1,"Henry IV, Part 1"
Servant (SERV.),3,"Henry IV, Part 1"
Francis (FRAN.),14,"Henry IV, Part 1"
Hostess (HOST.),24,"Henry IV, Part 1"
First Messenger (1. MESS.),6,"Henry IV, Part 1"
Second Messenger (2. MESS.),1,"Henry IV, Part 1"
Third Messenger (3. MESS.),1,"Henry IV, Part 1"
Chamberlain (CHAM.),6,"Henry IV, Part 1"
Vintner (VINT.),2,"Henry IV, Part 1"
Welsh Ladies (WEL. LAD.),0,"Henry IV, Part 1"
King Henry the Fourth (KING.),323,"Henry IV, Part 2"
Prince Henry (PRINCE.),206,"Henry IV, Part 2"
Prince John of Lancaster (P. JOHN.),108,"Henry IV, Part 2"
"Humphrey, Duke of Gloucester (GLOU.)",17,"Henry IV, Part 2"
"Thomas, Duke of Clarence (CLAR.)",23,"Henry IV, Part 2"
"Henry Percy, Earl of Northumberland (NORTH.)",106,"Henry IV, Part 2"
"Richard Scroop, Archbishop of York (ARCH.)",148,"Henry IV, Part 2"
Lord Mowbray (MOWB.),56,"Henry IV, Part 2"
Lord Hastings (HAST.),57,"Henry IV, Part 2"
Lord Bardolph (L. BARD.),87,"Henry IV, Part 2"
Travers (TRA.),15,"Henry IV, Part 2"
Sir John Colevile (COL.),7,"Henry IV, Part 2"
Earl of Warwick (WAR.),77,"Henry IV, Part 2"
Earl of Westmorland (WEST.),109,"Henry IV, Part 2"
Earl of Surrey (SURR.),0,"Henry IV, Part 2"
Sir John Blunt (BLUNT.),0,"Henry IV, Part 2"
Gower (GOW.),7,"Henry IV, Part 2"
Harcourt (HAR.),8,"Henry IV, Part 2"
Lord Chief Justice (CH. JUST.),99,"Henry IV, Part 2"
Poins (POINS.),29,"Henry IV, Part 2"
Sir John Falstaff (FAL.),198,"Henry IV, Part 2"
Bardolph (BARD.),32,"Henry IV, Part 2"
Pistol (PIST.),67,"Henry IV, Part 2"
"Rumor, the Presenter (RUM.)",40,"Henry IV, Part 2"
Porter (PORT.),4,"Henry IV, Part 2"
Epilogue (EPILOGUE.),3,"Henry IV, Part 2"
Doll Tearsheet (DOLL.),31,"Henry IV, Part 2"
Hostess Quickly (HOST.),53,"Henry IV, Part 2"
Lady Percy (LADY P.),46,"Henry IV, Part 2"
Lady Northumberland (LADY N.),5,"Henry IV, Part 2"
Bullcalf (BULL.),5,"Henry IV, Part 2"
Feeble (FEE.),7,"Henry IV, Part 2"
Wart (WART.),2,"Henry IV, Part 2"
Mouldy (MOUL.),5,"Henry IV, Part 2"
Snare (SNARE.),2,"Henry IV, Part 2"
Davy (DAVY.),13,"Henry IV, Part 2"
Silence (SIL.),38,"Henry IV, Part 2"
Shallow (SHAL.),82,"Henry IV, Part 2"
Falstaff's Page (PAGE.),17,"Henry IV, Part 2"
Peto (PETO.),6,"Henry IV, Part 2"
Morton (MOR.),79,"Henry IV, Part 2"
Fang (FANG.),6,"Henry IV, Part 2"
Sneak (SNEAK.),0,"Henry IV, Part 2"
Shadow (SHAD.),2,"Henry IV, Part 2"
Servant to the Lord Chief Justice (SERV.),7,"Henry IV, Part 2"
Beadle (BEAD.),4,"Henry IV, Part 2"
Francis (FRAN.),4,"Henry IV, Part 2"
Second Drawer (2. DRAW.),2,"Henry IV, Part 2"
Third Drawer (3. DRAW.),2,"Henry IV, Part 2"
Messenger (MESS.),4,"Henry IV, Part 2"
First Strewer (1. STREWER.),1,"Henry IV, Part 2"
Second Strewer (2. STREWER.),1,"Henry IV, Part 2"
Third Strewer (3. STREWER.),1,"Henry IV, Part 2"
Officer (OFFICER.),1,"Henry IV, Part 2"
King Henry's Page (K. HEN. PAGE),0,"Henry IV, Part 2"
Katherine (KATH.),33,Henry V
Queen Isabel (Q. ISA.),24,Henry V
Ambassador of France (1. AMB.),17,Henry V
Montjoy (MONT.),34,Henry V
Governor of Harfleur (GOV.),7,Henry V
Grandpr&#233; (GRAND.),18,Henry V
Rambures (RAM.),6,Henry V
Constable of France (CON.),95,Henry V
Duke of Berri (BERRI.),0,Henry V
Duke of Britain (BRIT.),9,Henry V
Duke of Bourbon (BOUR.),9,Henry V
Duke of Orleance (ORL.),32,Henry V
Duke of Burgundy (BUR.),53,Henry V
The Dauphin (DAU.),82,Henry V
Charles the Sixth (FR. KING.),92,Henry V
English Herald (HER.),1,Henry V
Boy (BOY.),18,Henry V
Bardolph (BARD.),16,Henry V
Nym (NYM.),21,Henry V
Pistol (PIST.),158,Henry V
Williams (WILL.),28,Henry V
Court (COURT.),1,Henry V
Bates (BATES.),7,Henry V
Jamy (JAMY.),4,Henry V
Macmorris (MAC.),4,Henry V
Fluellen (FLU.),72,Henry V
Gower (GOW.),27,Henry V
Sir Thomas Erpingham (ERP.),7,Henry V
Sir Thomas Grey (GREY.),13,Henry V
Lord Scroop (SCROOP.),13,Henry V
"Richard, Earl of Cambridge (CAM.)",15,Henry V
Bishop of Ely (ELY.),35,Henry V
Archbishop of Canterbury (CANT.),223,Henry V
Earl of Warwick (WAR.),1,Henry V
Earl of Westmorland (WEST.),19,Henry V
Earl of Salisbury (SAL.),9,Henry V
Duke of York (YORK.),2,Henry V
Duke of Exeter (EXE.),121,Henry V
"Thomas, Duke of Clarence (CLAR.)",0,Henry V
"John, Duke of Bedford (BED.)",7,Henry V
"Humphrey, Duke of Gloucester (GLOU.)",5,Henry V
King Henry the Fifth (K. HEN.),807,Henry V
Chorus (CHORUS.),223,Henry V
French Messenger (FR. MESS.),1,Henry V
French Soldier (FR. SOLD.),10,Henry V
French Court Attendant (FR. ATT.),4,Henry V
Hostess (HOST.),12,Henry V
Alice (ALICE.),22,Henry V
English Lords (LORDS.),1,Henry V
Joan de Pucelle (PUC.),254,"Henry VI, Part 1"
Countess of Auvergne (COUNT.),45,"Henry VI, Part 1"
Margaret (MAR.),33,"Henry VI, Part 1"
Shepherd (SHEP.),24,"Henry VI, Part 1"
Porter (PORT.),1,"Henry VI, Part 1"
French Sergeant (FR. SERG.),4,"Henry VI, Part 1"
General of the French Force at Bordeaux (GEN.),27,"Henry VI, Part 1"
Master Gunner of Orléans (M. GUN.),18,"Henry VI, Part 1"
Governor of Paris (GOV. PARIS.),0,"Henry VI, Part 1"
Bastard of Orléans (BAST.),29,"Henry VI, Part 1"
Duke of Alanson (ALAN.),49,"Henry VI, Part 1"
Duke of Burgundy (BUR.),44,"Henry VI, Part 1"
"Reignier, Duke of Anjou (REIG.)",59,"Henry VI, Part 1"
"Charles, Dauphin of France (CHAR.)",134,"Henry VI, Part 1"
Lawyer (LAW.),4,"Henry VI, Part 1"
Basset (BAS.),25,"Henry VI, Part 1"
Vernon (VER.),29,"Henry VI, Part 1"
Woodvile (WOODV.),5,"Henry VI, Part 1"
Mayor of London (MAY.),21,"Henry VI, Part 1"
Sir Thomas Gargrave (GAR.),2,"Henry VI, Part 1"
Sir William Glansdale (GLAN.),1,"Henry VI, Part 1"
Sir William Lucy (LUCY.),77,"Henry VI, Part 1"
Sir John Falstaff (FAL.),8,"Henry VI, Part 1"
"Edmund Mortimer, Earl of March (MOR.)",88,"Henry VI, Part 1"
John Talbot (JOHN.),47,"Henry VI, Part 1"
Lord Talbot (TAL.),407,"Henry VI, Part 1"
Earl of Suffolk (SUF.),175,"Henry VI, Part 1"
Earl of Salisbury (SAL.),15,"Henry VI, Part 1"
Earl of Warwick (WAR.),72,"Henry VI, Part 1"
Richard Plantagenet (PLAN.),184,"Henry VI, Part 1"
"John Beauford, Duke of Somerset (SOM.)",64,"Henry VI, Part 1"
"Henry Beauford, Bishop of Winchester (WIN.)",96,"Henry VI, Part 1"
"Thomas Beauford, Duke of Exeter (EXE.)",59,"Henry VI, Part 1"
Duke of Bedford (BED.),76,"Henry VI, Part 1"
Duke of Gloucester (GLOU.),185,"Henry VI, Part 1"
King Henry the Sixth (KING.),180,"Henry VI, Part 1"
Papal Legate (PAP.),1,"Henry VI, Part 1"
Fiends (FIENDS.),0,"Henry VI, Part 1"
Officer (OFF.),1,"Henry VI, Part 1"
Winchester's Serving Attendant (WIN. SERV. ATT.),4,"Henry VI, Part 1"
Master Gunner's Boy (M. GUN. BOY.),4,"Henry VI, Part 1"
First Messenger (1. MESS.),18,"Henry VI, Part 1"
Second Messenger (2. MESS.),7,"Henry VI, Part 1"
Third Messenger (3. MESS.),45,"Henry VI, Part 1"
Fourth Messenger (4. MESS.),4,"Henry VI, Part 1"
Fifth Messenger (5. MESS.),6,"Henry VI, Part 1"
First Warder of the Tower (1. WARDER),3,"Henry VI, Part 1"
Second Warder of the Tower (2. WARDER),1,"Henry VI, Part 1"
Gloucester's First Serving Attendant (1. GLOU. SERV. ATT.),4,"Henry VI, Part 1"
Gloucester's Second Serving Attendant (2. GLOU. SERV. ATT.),11,"Henry VI, Part 1"
First Sentinel (1. SENT.),5,"Henry VI, Part 1"
Second Sentinel (2. SENT.),0,"Henry VI, Part 1"
English Soldier (ENG. SOLD.),4,"Henry VI, Part 1"
Messenger of the Countess (MESS. COUNT.),15,"Henry VI, Part 1"
